brand,kilometers,model,transmission,year
117,62856.0,136,1,2018.0
180,27000.0,1570,3,2018.0
145,40200.0,1395,3,2018.0
130,230000.0,1307,3,2012.0
145,99000.0,932,3,2012.0
117,48000.0,136,1,2018.0
25,23000.0,1362,3,2018.0
25,138000.0,409,3,2012.0
145,110000.0,1288,3,2012.0
130,32000.0,1420,3,2012.0
25,113000.0,1362,3,2012.0
172,60000.0,800,1,2018.0
145,95000.0,932,3,2018.0
117,59300.0,397,1,2018.0
145,40000.0,1288,1,2018.0
130,49251.0,972,1,2018.0
172,40000.0,1116,1,2018.0
89,45000.0,1193,3,2018.0
172,42000.0,691,1,2018.0
89,37000.0,1380,1,2018.0
74,25000.0,1030,3,2018.0
117,52211.0,70,3,2018.0
130,31000.0,870,1,2018.0
180,49000.0,753,3,2018.0
130,30000.0,1144,1,2018.0
50,68000.0,606,3,2018.0
83,21000.0,1585,1,2018.0
8,25626.0,1617,1,2018.0
8,51000.0,1606,1,2018.0
50,45530.0,1182,1,2018.0
74,7800.0,1054,1,2018.0
117,36833.0,136,1,2018.0
123,26000.0,477,1,2018.0
117,38949.0,136,1,2018.0
128,34000.0,1004,1,2018.0
117,70000.0,70,1,2018.0
25,31000.0,1336,3,2018.0
25,70000.0,619,1,2018.0
130,51500.0,870,3,2018.0
89,22000.0,1193,1,2018.0
130,51500.0,870,3,2018.0
25,38715.0,1023,3,2018.0
89,32000.0,1106,1,2018.0
172,60000.0,800,3,2018.0
130,54000.0,1144,1,2018.0
180,46000.0,1295,3,2018.0
130,75329.0,704,1,2018.0
25,52000.0,1362,3,2018.0
137,23457.0,86,1,2018.0
117,62000.0,397,1,2018.0
130,30830.0,920,1,2018.0
130,79000.0,669,3,2018.0
130,57000.0,704,3,2018.0
172,43705.0,1116,1,2018.0
130,62000.0,704,3,2018.0
8,27700.0,1320,1,2018.0
123,9800.0,461,1,2018.0
123,28300.0,461,1,2018.0
25,55000.0,1362,3,2018.0
145,40000.0,932,3,2018.0
25,45000.0,1023,3,2018.0
145,15000.0,932,3,2018.0
74,16000.0,1548,3,2018.0
8,68900.0,1317,1,2018.0
117,40300.0,312,3,2018.0
25,48424.0,1481,1,2018.0
50,30900.0,634,1,2018.0
172,40550.0,1164,1,2018.0
145,72560.0,1288,1,2018.0
50,50000.0,622,1,2018.0
89,20000.0,1106,3,2018.0
180,33123.0,753,3,2018.0
89,25400.0,1193,3,2018.0
50,56000.0,634,1,2018.0
128,22000.0,1381,3,2018.0
172,61000.0,800,3,2018.0
50,52300.0,607,1,2018.0
89,45000.0,1028,3,2018.0
89,42000.0,1380,1,2018.0
180,24000.0,753,3,2018.0
145,49000.0,932,3,2018.0
8,10900.0,1317,1,2018.0
180,37000.0,528,1,2018.0
25,60700.0,1354,3,2018.0
123,29522.0,467,1,2018.0
130,41800.0,1144,1,2018.0
145,48000.0,1288,3,2018.0
180,4490000.0,753,3,2018.0
25,25000.0,1362,3,2018.0
89,55000.0,1380,1,2018.0
25,37000.0,99,3,2018.0
25,58000.0,1362,3,2018.0
25,36780.0,1362,3,2018.0
145,80000.0,932,1,2018.0
25,38100.0,1072,3,2018.0
50,42900.0,623,1,2018.0
172,58000.0,181,1,2018.0
25,587000.0,99,3,2018.0
180,4300.0,753,1,2018.0
89,79285.0,1351,1,2018.0
63,65000.0,796,1,2018.0
130,48000.0,704,3,2018.0
128,65400.0,1004,1,2018.0
117,32000.0,397,1,2018.0
25,32541.0,1276,3,2018.0
25,27000.0,1278,3,2018.0
25,130020.0,1354,3,2012.0
117,147500.0,70,1,2012.0
74,73000.0,1434,1,2012.0
74,50000.0,1434,3,2012.0
25,26500.0,1362,3,2012.0
89,82000.0,1380,1,2012.0
130,118000.0,704,3,2012.0
25,228000.0,250,3,2012.0
25,160000.0,250,3,2012.0
74,110000.0,612,3,2012.0
130,208000.0,1307,3,2012.0
25,90556.21355944383,1116,3,2012.612294758021
43,152000.0,850,3,2012.0
117,51000.0,136,1,2018.0
8,31000.0,1315,1,2018.0
25,47000.0,1481,1,2018.0
34,39800.0,343,3,2018.0
50,16500.0,709,1,2018.0
25,35000.0,1362,3,2018.0
81,190000.0,99,3,2018.0
89,45000.0,1106,3,2018.0
150,25000.0,924,1,2018.0
89,25000.0,1106,1,2018.0
165,23000.0,1407,3,2018.0
3,60000.0,1138,1,2018.0
130,28000.0,704,1,2018.0
25,35000.0,6,3,2018.0
142,22000.0,1534,3,2018.0
20,51750.0,991,3,2018.0
25,50000.0,619,1,2018.0
89,15000.0,1106,3,2018.0
25,48000.0,1261,3,2018.0
25,58000.0,1261,1,2018.0
172,115000.0,800,1,2018.0
25,85000.0,1261,3,2018.0
145,108000.0,414,1,2018.0
145,66000.0,578,1,2018.0
25,51000.0,1342,3,2018.0
145,77000.0,932,1,2018.0
25,73934.0,1072,1,2018.0
50,59000.0,678,1,2018.0
130,65000.0,161,1,2018.0
130,41000.0,1591,1,2018.0
72,37500.0,1575,3,2018.0
83,17000.0,1585,1,2018.0
89,43000.0,1106,3,2018.0
25,45000.0,1362,3,2018.0
3,60000.0,1138,1,2018.0
165,43000.0,848,3,2018.0
172,84000.0,800,1,2018.0
89,1.0,1106,3,2018.0
83,66580.0,1585,1,2018.0
89,120000.0,1106,3,2018.0
25,174136.0,1362,1,2018.0
25,70000.0,1706,3,2018.0
89,32000.0,1193,3,2018.0
89,35600.0,1106,3,2018.0
137,39000.0,109,1,2018.0
25,100000.0,1354,3,2018.0
22,100000.0,1646,3,2012.0
8,80000.0,1595,1,2012.0
25,178000.0,1362,3,2012.0
25,167000.0,409,1,2012.0
25,116278.0,1023,3,2012.0
145,40000.0,1395,1,2012.0
25,103000.0,544,3,2012.0
89,78042.0,1106,1,2012.0
74,140000.0,1434,3,2012.0
3,76000.0,236,3,2012.0
145,110000.0,1516,3,2012.0
25,60000.0,250,3,2012.0
145,140000.0,872,1,2012.0
180,50000.0,843,1,2012.0
22,160000.0,1457,3,2012.0
74,100000.0,253,3,2012.0
145,92000.0,932,3,2012.0
25,163200.0,1354,3,2012.0
145,98000.0,684,3,2012.0
25,84000.0,281,3,2012.0
74,161366.0,1115,3,2012.0
3,68000.0,234,3,2012.0
25,85112.0,409,1,2012.0
130,90000.0,704,3,2012.0
145,89000.0,872,1,2012.0
145,148000.0,932,3,2012.0
8,87409.0,1595,1,2012.0
25,91664.0,532,1,2012.0
89,133800.0,1127,3,2012.0
117,98000.0,136,3,2012.0
89,76428.0,1106,3,2012.0
83,97583.0,505,3,2012.0
43,76773.0,850,3,2012.0
184,81228.0,1213,1,2012.0
99,102000.0,631,1,2012.0
25,99856.0,1354,3,2012.0
172,126000.0,1116,1,2012.0
180,98000.0,753,3,2012.0
25,83000.0,409,3,2012.0
25,115000.0,1362,3,2012.0
3,70000.0,237,1,2012.0
74,86000.0,253,3,2012.0
117,110000.0,312,3,2012.0
25,72113.0,532,1,2012.0
8,71000.0,1595,1,2012.0
74,118473.0,1700,3,2012.0
180,54000.0,843,1,2018.0
161,63000.0,1635,1,2018.0
89,5000.0,99,3,2018.0
89,44300.0,1193,3,2018.0
74,239.0,1700,3,2018.0
25,166000.0,1264,3,2018.0
145,1.0,1288,1,2018.0
145,67000.0,932,1,2018.0
145,72000.0,932,1,2018.0
145,56000.0,414,1,2018.0
117,52000.0,136,1,2018.0
145,200000.0,932,1,2018.0
25,46047.0,100,3,2018.0
145,17000.0,932,1,2018.0
25,26000.0,1362,3,2018.0
89,45000.0,1193,3,2018.0
83,30000.0,1585,1,2018.0
180,39500.0,1459,1,2018.0
3,25000.0,1134,1,2018.0
145,60000.0,414,1,2018.0
117,45000.0,136,1,2018.0
79,7200.0,562,3,2018.0
99,29000.0,1178,1,2018.0
89,38600.0,1106,3,2018.0
145,70000.0,414,3,2018.0
36,125000.0,857,3,2018.0
180,38000.0,1570,1,2018.0
145,17000.0,932,3,2018.0
165,30286.0,1407,3,2018.0
145,80500.0,932,1,2018.0
123,32000.0,489,1,2018.0
89,28000.0,1193,3,2018.0
172,65000.0,1116,1,2018.0
17,33000.0,621,1,2018.0
25,48260.0,1072,1,2018.0
117,53000.0,136,1,2018.0
25,52.0,1483,3,2018.0
50,26000.0,678,1,2018.0
145,69000.0,1288,1,2018.0
117,50000.0,70,3,2018.0
145,33400.0,580,1,2018.0
50,49000.0,634,1,2018.0
50,44000.0,609,1,2018.0
130,80000.0,972,1,2018.0
117,42000.0,136,1,2018.0
89,100448.0,1106,3,2012.0
145,127000.0,932,3,2012.0
172,102000.0,800,3,2012.0
25,104700.0,1362,3,2012.0
25,91074.0,409,1,2012.0
74,90600.0,1434,3,2012.0
25,112586.0,409,3,2012.0
172,160000.0,800,3,2012.0
180,59900.0,753,3,2012.0
145,98000.0,1409,3,2012.0
3,67000.0,241,1,2012.0
25,90556.21355944383,1116,3,2012.612294758021
180,89000.0,1459,3,2012.0
145,117580.0,932,3,2012.0
117,66000.0,70,3,2012.0
25,76000.0,409,3,2012.0
172,157000.0,1116,3,2012.0
3,82000.0,1138,1,2012.0
25,92264.0,532,1,2012.0
50,113000.0,678,1,2012.0
172,87000.0,691,1,2012.0
145,103000.0,1395,3,2012.0
145,45000.0,1516,3,2012.0
145,40000.0,1516,3,2012.0
145,89000.0,1395,3,2012.0
83,106000.0,505,3,2012.0
172,134000.0,800,3,2012.0
172,182000.0,800,3,2012.0
145,42000.0,1516,3,2012.0
